,ecorregion_nivel_1,anio,num_incendios,area_km2_ecorregiones,incendios_cada_km2
0,Sierras Templadas,2000,1,1578446283.527541,6.335343878571411e-10
1,Sierras Templadas,2001,581,1578446283.527541,3.6808347934499897e-07
2,Sierras Templadas,2002,806,1578446283.527541,5.106287166128557e-07
3,Sierras Templadas,2003,1790,1578446283.527541,1.1340265542642826e-06
4,Sierras Templadas,2004,772,1578446283.527541,4.890885474257129e-07
5,Sierras Templadas,2005,2423,1578446283.527541,1.5350538217778528e-06
6,Sierras Templadas,2006,1360,1578446283.527541,8.616067674857119e-07
7,Sierras Templadas,2007,1204,1578446283.527541,7.627754029799979e-07
8,Sierras Templadas,2008,1800,1578446283.527541,1.140361898142854e-06
9,Sierras Templadas,2009,1381,1578446283.527541,8.749109896307119e-07
10,Sierras Templadas,2010,953,1578446283.527541,6.037582716278554e-07
11,Sierras Templadas,2011,4583,1578446283.527541,2.9034880995492775e-06
12,Sierras Templadas,2012,2508,1578446283.527541,1.58890424474571e-06
13,Sierras Templadas,2013,2369,1578446283.527541,1.5008429648335673e-06
14,Sierras Templadas,2014,558,1578446283.527541,3.535121884242847e-07
15,Sierras Templadas,2015,393,1578446283.527541,2.489790144278564e-07
16,Sierras Templadas,2016,1325,1578446283.527541,8.39433063910712e-07
17,Sierras Templadas,2017,3000,1578446283.527541,1.9006031635714232e-06
18,Sierras Templadas,2018,1553,1578446283.527541,9.8387890434214e-07
19,Sierras Templadas,2019,3029,1578446283.527541,1.9189756608192803e-06
20,Elevaciones Semiaridas Meridionales,2000,5,453940974.5789417,1.1014647894779291e-08
21,Elevaciones Semiaridas Meridionales,2001,67,453940974.5789417,1.475962817900425e-07
22,Elevaciones Semiaridas Meridionales,2002,107,453940974.5789417,2.3571346494827684e-07
23,Elevaciones Semiaridas Meridionales,2003,250,453940974.5789417,5.507323947389645e-07
24,Elevaciones Semiaridas Meridionales,2004,191,453940974.5789417,4.2075954958056895e-07
25,Elevaciones Semiaridas Meridionales,2005,452,453940974.5789417,9.95724169688048e-07
26,Elevaciones Semiaridas Meridionales,2006,226,453940974.5789417,4.97862084844024e-07
27,Elevaciones Semiaridas Meridionales,2007,223,453940974.5789417,4.912532961071564e-07
28,Elevaciones Semiaridas Meridionales,2008,421,453940974.5789417,9.274333527404164e-07
29,Elevaciones Semiaridas Meridionales,2009,422,453940974.5789417,9.296362823193721e-07
30,Elevaciones Semiaridas Meridionales,2010,220,453940974.5789417,4.846445073702888e-07
31,Elevaciones Semiaridas Meridionales,2011,548,453940974.5789417,1.2072054092678103e-06
32,Elevaciones Semiaridas Meridionales,2012,378,453940974.5789417,8.327073808453144e-07
33,Elevaciones Semiaridas Meridionales,2013,764,453940974.5789417,1.6830381983222758e-06
34,Elevaciones Semiaridas Meridionales,2014,312,453940974.5789417,6.873140286342278e-07
35,Elevaciones Semiaridas Meridionales,2015,132,453940974.5789417,2.9078670442217327e-07
36,Elevaciones Semiaridas Meridionales,2016,483,453940974.5789417,1.0640149866356796e-06
37,Elevaciones Semiaridas Meridionales,2017,685,453940974.5789417,1.5090067615847629e-06
38,Elevaciones Semiaridas Meridionales,2018,571,453940974.5789417,1.2578727895837952e-06
39,Elevaciones Semiaridas Meridionales,2019,586,453940974.5789417,1.290916733268133e-06
40,Grandes Planicies,2000,3,47284103.38333672,6.344627021218346e-08
41,Grandes Planicies,2001,18,47284103.38333672,3.806776212731008e-07
42,Grandes Planicies,2002,17,47284103.38333672,3.595288645357063e-07
43,Grandes Planicies,2003,32,47284103.38333672,6.767602155966236e-07
44,Grandes Planicies,2004,51,47284103.38333672,1.0785865936071188e-06
45,Grandes Planicies,2005,118,47284103.38333672,2.4955532950125496e-06
46,Grandes Planicies,2006,83,47284103.38333672,1.7553468092037424e-06
47,Grandes Planicies,2007,26,47284103.38333672,5.498676751722567e-07
48,Grandes Planicies,2008,133,47284103.38333672,2.812784646073467e-06
49,Grandes Planicies,2009,113,47284103.38333672,2.3898095113255773e-06
50,Grandes Planicies,2010,27,47284103.38333672,5.710164319096511e-07
51,Grandes Planicies,2011,824,47284103.38333672,1.7426575551613058e-05
52,Grandes Planicies,2012,57,47284103.38333672,1.2054791340314858e-06
53,Grandes Planicies,2013,26,47284103.38333672,5.498676751722567e-07
54,Grandes Planicies,2014,26,47284103.38333672,5.498676751722567e-07
55,Grandes Planicies,2015,34,47284103.38333672,7.190577290714126e-07
56,Grandes Planicies,2016,54,47284103.38333672,1.1420328638193023e-06
57,Grandes Planicies,2017,102,47284103.38333672,2.1571731872142376e-06
58,Grandes Planicies,2018,51,47284103.38333672,1.0785865936071188e-06
59,Grandes Planicies,2019,46,47284103.38333672,9.728428099201465e-07
60,Desiertos de America del Norte,2000,1,284959255.22780746,3.5092736300161975e-09
61,Desiertos de America del Norte,2001,82,284959255.22780746,2.877604376613282e-07
62,Desiertos de America del Norte,2002,205,284959255.22780746,7.194010941533205e-07
63,Desiertos de America del Norte,2003,168,284959255.22780746,5.895579698427212e-07
64,Desiertos de America del Norte,2004,158,284959255.22780746,5.544652335425593e-07
65,Desiertos de America del Norte,2005,157,284959255.22780746,5.50955959912543e-07
66,Desiertos de America del Norte,2006,211,284959255.22780746,7.404567359334177e-07
67,Desiertos de America del Norte,2007,148,284959255.22780746,5.193724972423972e-07
68,Desiertos de America del Norte,2008,216,284959255.22780746,7.580031040834986e-07
69,Desiertos de America del Norte,2009,321,284959255.22780746,1.1264768352351993e-06
70,Desiertos de America del Norte,2010,288,284959255.22780746,1.010670805444665e-06
71,Desiertos de America del Norte,2011,3755,284959255.22780746,1.3177322480710822e-05
72,Desiertos de America del Norte,2012,479,284959255.22780746,1.6809420687777586e-06
73,Desiertos de America del Norte,2013,193,284959255.22780746,6.772898105931261e-07
74,Desiertos de America del Norte,2014,239,284959255.22780746,8.387163975738712e-07
75,Desiertos de America del Norte,2015,136,284959255.22780746,4.772612136822029e-07
76,Desiertos de America del Norte,2016,204,284959255.22780746,7.158918205233043e-07
77,Desiertos de America del Norte,2017,284,284959255.22780746,9.966337109246e-07
78,Desiertos de America del Norte,2018,227,284959255.22780746,7.966051140136769e-07
79,Desiertos de America del Norte,2019,219,284959255.22780746,7.685309249735472e-07
80,California Mediterranea,2000,2,97820075.95336065,2.044570074708973e-08
81,California Mediterranea,2001,4,97820075.95336065,4.089140149417946e-08
82,California Mediterranea,2002,220,97820075.95336065,2.2490270821798706e-06
83,California Mediterranea,2003,469,97820075.95336065,4.7945168251925415e-06
84,California Mediterranea,2004,118,97820075.95336065,1.206296344078294e-06
85,California Mediterranea,2005,397,97820075.95336065,4.058471598297312e-06
86,California Mediterranea,2006,278,97820075.95336065,2.8419524038454726e-06
87,California Mediterranea,2007,169,97820075.95336065,1.7276617131290822e-06
88,California Mediterranea,2008,181,97820075.95336065,1.8503359176116207e-06
89,California Mediterranea,2009,652,97820075.95336065,6.665298443551252e-06
90,California Mediterranea,2010,95,97820075.95336065,9.711707854867622e-07
91,California Mediterranea,2011,142,97820075.95336065,1.4516447530433709e-06
92,California Mediterranea,2012,270,97820075.95336065,2.7601696008571136e-06
93,California Mediterranea,2013,103,97820075.95336065,1.0529535884751212e-06
94,California Mediterranea,2014,172,97820075.95336065,1.7583302642497168e-06
95,California Mediterranea,2015,166,97820075.95336065,1.6969931620084477e-06
96,California Mediterranea,2016,60,97820075.95336065,6.13371022412692e-07
97,California Mediterranea,2017,387,97820075.95336065,3.9562430945618625e-06
98,California Mediterranea,2018,326,97820075.95336065,3.332649221775626e-06
99,California Mediterranea,2019,357,97820075.95336065,3.649557583355517e-06
100,Selvas Calido-Secas,2000,7,1059041760.4780769,6.609748794835089e-09
101,Selvas Calido-Secas,2001,840,1059041760.4780769,7.931698553802106e-07
102,Selvas Calido-Secas,2002,1007,1059041760.4780769,9.508595766284192e-07
103,Selvas Calido-Secas,2003,2064,1059041760.4780769,1.9489316446485178e-06
104,Selvas Calido-Secas,2004,1497,1059041760.4780769,1.4135419922668755e-06
105,Selvas Calido-Secas,2005,1948,1059041760.4780769,1.8393986646198218e-06
106,Selvas Calido-Secas,2006,1531,1059041760.4780769,1.4456464864132172e-06
107,Selvas Calido-Secas,2007,1574,1059041760.4780769,1.4862492290100615e-06
108,Selvas Calido-Secas,2008,1515,1059041760.4780769,1.4305384891678799e-06
109,Selvas Calido-Secas,2009,1720,1059041760.4780769,1.6241097038737647e-06
110,Selvas Calido-Secas,2010,1358,1059041760.4780769,1.2822912661980074e-06
111,Selvas Calido-Secas,2011,1848,1059041760.4780769,1.7449736818364634e-06
112,Selvas Calido-Secas,2012,2025,1059041760.4780769,1.912105901363008e-06
113,Selvas Calido-Secas,2013,2415,1059041760.4780769,2.280363334218106e-06
114,Selvas Calido-Secas,2014,1042,1059041760.4780769,9.839083206025946e-07
115,Selvas Calido-Secas,2015,1275,1059041760.4780769,1.2039185304878197e-06
116,Selvas Calido-Secas,2016,1661,1059041760.4780769,1.5683989640315833e-06
117,Selvas Calido-Secas,2017,2027,1059041760.4780769,1.913994401018675e-06
118,Selvas Calido-Secas,2018,1719,1059041760.4780769,1.6231654540459312e-06
119,Selvas Calido-Secas,2019,2219,1059041760.4780769,2.0952903679627232e-06
120,Selvas Calido-Humedas,2000,3,1572621075.617646,1.907643262902191e-09
121,Selvas Calido-Humedas,2001,649,1572621075.617646,4.126868258745074e-07
122,Selvas Calido-Humedas,2002,942,1572621075.617646,5.989999845512881e-07
123,Selvas Calido-Humedas,2003,4234,1572621075.617646,2.692320525042626e-06
124,Selvas Calido-Humedas,2004,1275,1572621075.617646,8.107483867334313e-07
125,Selvas Calido-Humedas,2005,3342,1572621075.617646,2.125114594873041e-06
126,Selvas Calido-Humedas,2006,2626,1572621075.617646,1.6698237361270516e-06
127,Selvas Calido-Humedas,2007,1965,1572621075.617646,1.2495063372009353e-06
128,Selvas Calido-Humedas,2008,2284,1572621075.617646,1.4523524041562018e-06
129,Selvas Calido-Humedas,2009,3180,1572621075.617646,2.022101858676323e-06
130,Selvas Calido-Humedas,2010,1642,1572621075.617646,1.0441167458951327e-06
131,Selvas Calido-Humedas,2011,3516,1572621075.617646,2.2357579041213684e-06
132,Selvas Calido-Humedas,2012,1241,1572621075.617646,7.891284297538732e-07
133,Selvas Calido-Humedas,2013,2976,1572621075.617646,1.8923821167989738e-06
134,Selvas Calido-Humedas,2014,1093,1572621075.617646,6.950180287840317e-07
135,Selvas Calido-Humedas,2015,2315,1572621075.617646,1.4720647178728576e-06
136,Selvas Calido-Humedas,2016,1929,1572621075.617646,1.226614618046109e-06
137,Selvas Calido-Humedas,2017,2553,1572621075.617646,1.6234044167297648e-06
138,Selvas Calido-Humedas,2018,1164,1572621075.617646,7.401655860060503e-07
139,Selvas Calido-Humedas,2019,3002,1572621075.617646,1.9089150250774593e-06
